"Date & Time","use [kW]","gen [kW]","Power Phase1 [kW]","Power Phase2 [kW]","Power Phase 3 [kW]","Intensity Phase1 [A]","Intensity Phase2 [A]","Intensity Phase3 [A]","Main Circuit Breaker [kW]"
2015-10-01 11:00:00,95.594800000,-0.000000000,32.685766667,34.431166667,28.477866667,161.712057681,168.026841314,143.840173499,95.594800000
2015-10-01 10:59:00,91.874050000,-0.000000000,33.042750000,30.779933333,28.051366667,163.034057744,152.986957266,142.261123424,91.874050000
2015-10-01 10:58:00,87.433650000,-0.000000000,30.257650000,30.671233333,26.504766667,151.023907173,151.836523879,135.251806424,87.433650000
2015-10-01 10:57:00,81.221533333,-0.000000000,27.907400000,28.342333333,24.971800000,142.025723413,142.917640122,129.902972837,81.221533333
2015-10-01 10:56:00,85.377950000,-0.000000000,30.593816667,29.591133333,25.193000000,155.912657405,151.051807175,134.270306377,85.377950000
2015-10-01 10:55:00,84.377566667,-0.000000000,28.884166667,29.298066667,26.195333333,150.792273829,151.646323869,139.704523302,84.377566667
2015-10-01 10:54:00,81.358083333,-0.000000000,29.344733333,27.308050000,24.705300000,150.783557162,142.049423414,132.164006277,81.358083333
2015-10-01 10:53:00,99.031516667,-0.000000000,35.133550000,34.153633333,29.744333333,179.175875177,174.621491627,157.523457482,99.031516667
2015-10-01 10:52:00,100.692150000,-0.000000000,34.092683333,35.826583333,30.772883333,175.380791663,181.581725291,162.105141033,100.692150000
2015-10-01 10:51:00,102.004966667,-0.000000000,35.167500000,36.109183333,30.728283333,179.853758543,183.036442027,161.604591009,102.004966667
2015-10-01 10:50:00,97.436183333,-0.000000000,34.279516667,33.609650000,29.547016667,175.616175008,172.425108190,156.530507435,97.436183333
2015-10-01 10:49:00,101.461033333,-0.000000000,35.350183333,35.874950000,30.235900000,180.374558567,182.031725313,159.761990922,101.461033333
2015-10-01 10:48:00,103.364800000,-0.000000000,35.235633333,36.893033333,31.236133333,181.441758618,187.769158919,165.300557851,103.364800000
2015-10-01 10:47:00,104.484650000,-0.000000000,36.461200000,36.504000000,31.519450000,187.108092220,186.532442193,167.463857954,104.484650000
2015-10-01 10:46:00,109.096050000,-0.000000000,39.463233333,37.290700000,32.342116667,199.312409467,189.438042331,170.606341437,109.096050000
2015-10-01 10:45:00,105.165016667,-0.000000000,35.513516667,38.628766667,31.022733333,180.909258593,192.679242485,162.181757703,105.165016667
2015-10-01 10:44:00,104.518800000,-0.000000000,37.348583333,36.281500000,30.888716667,188.021358931,182.689625344,161.579541008,104.518800000
2015-10-01 10:43:00,100.207833333,-0.000000000,34.170016667,35.318583333,30.719233333,175.139041652,178.837158494,161.033107649,100.207833333
2015-10-01 10:42:00,94.488833333,-0.000000000,32.699650000,32.192950000,29.596233333,169.349858044,166.915374595,156.884024118,94.488833333
2015-10-01 10:41:00,97.460316667,-0.000000000,34.256333333,33.598083333,29.605900000,176.551058386,173.526408242,158.323540853,97.460316667
2015-10-01 10:40:00,88.334766667,-0.000000000,29.827933333,30.198250000,28.308583333,158.285107518,159.491324242,152.691340586,88.334766667
2015-10-01 10:39:00,88.685083333,-0.000000000,31.335866667,29.713633333,27.635583333,163.838657782,157.240274135,149.792273781,88.685083333
2015-10-01 10:38:00,90.577466667,-0.000000000,31.719200000,30.776566667,28.081700000,165.784207874,161.434907668,151.483873862,90.577466667
2015-10-01 10:37:00,86.442483333,-0.000000000,29.239716667,30.046116667,27.156650000,154.242957326,156.787557447,145.677956919,86.442483333
2015-10-01 10:36:00,89.132066667,-0.000000000,30.572550000,30.984466667,27.575050000,157.080507461,157.768674160,144.851390213,89.132066667
2015-10-01 10:35:00,87.470116667,-0.000000000,30.136816667,29.595183333,27.738116667,154.415940668,151.532307197,144.255073518,87.470116667
2015-10-01 10:34:00,94.138183333,-0.000000000,32.448916667,32.786533333,28.902733333,166.687324584,167.129191272,152.163957227,94.138183333
2015-10-01 10:33:00,93.743216667,-0.000000000,31.842466667,32.216833333,29.683916667,165.965191216,166.674774583,157.496340814,93.743216667
2015-10-01 10:32:00,98.562766667,-0.000000000,33.680566667,34.164866667,30.717333333,174.398024950,175.610358341,162.391541047,98.562766667
2015-10-01 10:31:00,96.782266667,-0.000000000,33.781300000,32.649416667,30.351550000,174.117424937,168.703941346,160.816024305,96.782266667
2015-10-01 10:30:00,98.266150000,-0.000000000,32.950300000,34.510033333,30.805816667,171.216341466,176.566708386,162.428974382,98.266150000
2015-10-01 10:29:00,97.838533333,-0.000000000,33.414850000,34.047250000,30.376433333,172.003641503,173.565158244,159.821057591,97.838533333
2015-10-01 10:28:00,102.868750000,-0.000000000,35.883566667,35.142366667,31.842816667,182.962425357,178.915141831,166.684791250,102.868750000
2015-10-01 10:27:00,96.450100000,-0.000000000,32.882233333,33.022550000,30.545316667,170.087474745,169.752108063,160.322407615,96.450100000
2015-10-01 10:26:00,91.104700000,-0.000000000,31.903183333,31.516100000,27.685416667,163.586391103,161.145374321,146.530973627,91.104700000
2015-10-01 10:25:00,90.157683333,-0.000000000,30.401683333,31.493083333,28.262916667,158.338107521,161.657524345,149.624373773,90.157683333
2015-10-01 10:24:00,84.083566667,-0.000000000,29.222133333,28.865316667,25.996116667,152.460290575,149.993023791,139.498139959,84.083566667
2015-10-01 10:23:00,79.328216667,-0.000000000,27.447066667,26.859533333,25.021616667,142.941756789,139.910339979,133.015622985,79.328216667
2015-10-01 10:22:00,84.968750000,-0.000000000,29.567100000,29.582200000,25.819450000,153.068723937,152.362140570,137.818073213,84.968750000
2015-10-01 10:21:00,85.495200000,-0.000000000,29.074250000,29.572750000,26.848200000,151.595590534,152.755557255,142.400006764,85.495200000
2015-10-01 10:20:00,86.807716667,-0.000000000,30.505333333,29.034766667,27.267616667,158.281790851,151.411290525,145.636123584,86.807716667
2015-10-01 10:19:00,83.426000000,-0.000000000,29.099733333,28.873116667,25.453150000,151.792257210,149.960657123,137.184756516,83.426000000
2015-10-01 10:18:00,83.393800000,-0.000000000,28.195750000,29.553416667,25.644633333,148.010873697,152.571057247,137.628206537,83.393800000
2015-10-01 10:17:00,84.666133333,-0.000000000,30.017800000,28.784250000,25.864083333,154.385940666,148.906973739,137.851489881,84.666133333
2015-10-01 10:16:00,90.500083333,-0.000000000,31.285150000,30.507483333,28.707450000,160.632674296,157.053890793,150.548423817,90.500083333
2015-10-01 10:15:00,87.814983333,-0.000000000,29.942283333,30.988550000,26.884150000,154.824457354,158.214174181,142.520323436,87.814983333
2015-10-01 10:14:00,88.413900000,-0.000000000,30.393100000,30.904833333,27.115966667,155.913257405,157.360790808,142.596040106,88.413900000
2015-10-01 10:13:00,95.020116667,-0.000000000,31.942200000,33.564150000,29.513766667,166.893957927,172.453524858,157.256357469,95.020116667
2015-10-01 10:12:00,97.107216667,-0.000000000,34.045516667,32.747133333,30.314566667,174.537291623,168.388557998,160.051674269,97.107216667
2015-10-01 10:11:00,95.891783333,-0.000000000,32.108400000,33.875966667,29.907416667,167.287074612,173.473991573,158.651407536,95.891783333
2015-10-01 10:10:00,100.152700000,-0.000000000,34.526083333,34.163483333,31.463133333,178.506841812,176.284975040,166.907357928,100.152700000
2015-10-01 10:09:00,99.177066667,-0.000000000,33.970650000,34.644250000,30.562166667,176.592425054,178.152075128,163.366141093,99.177066667
2015-10-01 10:08:00,96.127283333,-0.000000000,32.532950000,32.842766667,30.751566667,170.221474752,170.559741434,164.245724468,96.127283333
2015-10-01 10:07:00,97.334816667,-0.000000000,34.031450000,33.041300000,30.262066667,175.414708332,170.455008096,160.825924305,97.334816667
2015-10-01 10:06:00,85.389616667,-0.000000000,29.001966667,29.570450000,26.817200000,148.649990394,149.850123784,139.795056640,85.389616667
2015-10-01 10:05:00,84.841383333,-0.000000000,28.999933333,28.757966667,27.083483333,148.835457069,146.805106973,140.983273363,84.841383333
2015-10-01 10:04:00,89.053900000,-0.000000000,32.330383333,29.266750000,27.456766667,162.487174384,148.663723728,142.752073447,89.053900000
2015-10-01 10:03:00,94.668350000,-0.000000000,31.566966667,33.437233333,29.664150000,161.304790995,167.406124618,153.549957293,94.668350000
2015-10-01 10:02:00,91.563300000,-0.000000000,32.373833333,31.381233333,27.808233333,161.347107664,155.944357407,142.179806753,91.563300000
2015-10-01 10:01:00,95.517733333,-0.000000000,32.903266667,33.004966667,29.609500000,163.712657776,162.958074407,149.690823777,95.517733333
2015-10-01 10:00:00,92.699050000,-0.000000000,32.145533333,31.893616667,28.659900000,159.703924252,157.636524154,144.864106881,92.699050000
2015-10-01 09:59:00,98.021716667,-0.000000000,33.695916667,34.238283333,30.087516667,166.532357910,167.552507958,151.254923851,98.021716667
2015-10-01 09:58:00,97.849400000,-0.000000000,33.844750000,33.208900000,30.795750000,170.718858109,167.111241271,158.615724201,97.849400000
2015-10-01 09:57:00,97.124383333,-0.000000000,34.414500000,33.042000000,29.667883333,173.478458240,166.818874590,154.099923986,97.124383333
